id;node_name;cpu_usage;ram_usage;uptime;created_at
1175;prx3;0.79;24.16;522177;2025-12-19 15:20:54.619404+00:00
1174;prx3;1.11;24.14;522170;2025-12-19 15:20:47.093444+00:00
1173;prx2;0.16;4.7;522120;2025-12-19 15:20:40.764075+00:00
1172;prx3;0.77;24.16;522162;2025-12-19 15:20:39.340979+00:00
1171;prx3;0.86;24.14;522154;2025-12-19 15:20:31.840918+00:00
1170;prx2;0.15;4.69;522104;2025-12-19 15:20:25.538096+00:00
1169;prx3;1.35;24.14;522147;2025-12-19 15:20:24.073032+00:00
1168;prx3;1.34;24.13;522139;2025-12-19 15:20:16.573897+00:00
1167;prx2;0.15;4.7;522089;2025-12-19 15:20:10.290877+00:00
1166;prx1;0.08;3.27;522011;2025-12-19 15:20:08.776003+00:00
1165;prx3;0.77;24.14;522124;2025-12-19 15:20:01.331344+00:00
1164;prx2;0.15;4.7;522074;2025-12-19 15:19:55.041051+00:00
1163;prx3;0.96;24.15;522116;2025-12-19 15:19:53.511676+00:00
1162;prx3;0.92;24.14;522109;2025-12-19 15:19:46.079272+00:00
1161;prx2;0.16;4.69;522059;2025-12-19 15:19:39.814505+00:00
1160;prx3;0.76;24.16;522101;2025-12-19 15:19:38.265494+00:00
1159;prx3;0.82;24.15;522093;2025-12-19 15:19:30.859612+00:00
1158;prx2;0.13;4.7;522043;2025-12-19 15:19:24.567341+00:00
1157;prx3;1.02;24.15;522085;2025-12-19 15:19:22.992307+00:00
1156;prx3;0.86;24.15;522078;2025-12-19 15:19:15.629851+00:00
1155;prx2;0.18;4.7;522028;2025-12-19 15:19:09.326122+00:00
1154;prx3;1.23;24.15;522070;2025-12-19 15:19:07.663512+00:00
1153;prx3;0.82;24.16;522063;2025-12-19 15:19:00.365169+00:00
1152;prx2;0.13;4.7;522013;2025-12-19 15:18:54.082273+00:00
1151;prx1;0.09;3.27;521935;2025-12-19 15:18:52.374752+00:00
1150;prx3;0.94;24.16;522048;2025-12-19 15:18:45.074545+00:00
1149;prx2;0.16;4.7;521998;2025-12-19 15:18:38.887387+00:00
1148;prx3;0.99;24.17;522040;2025-12-19 15:18:37.103390+00:00
1147;prx3;1.16;24.15;522032;2025-12-19 15:18:29.840973+00:00
1146;prx2;0.13;4.7;521982;2025-12-19 15:18:23.662495+00:00
1145;prx3;1.32;24.16;522024;2025-12-19 15:18:21.799651+00:00
1144;prx3;1.69;24.14;522017;2025-12-19 15:18:14.575661+00:00
1143;prx2;0.15;4.7;521967;2025-12-19 15:18:08.428996+00:00
1142;prx3;1.25;24.14;522009;2025-12-19 15:18:06.523879+00:00
1141;prx3;1.22;24.14;522002;2025-12-19 15:17:59.326210+00:00
1140;prx2;0.12;4.69;521952;2025-12-19 15:17:53.229494+00:00
1139;prx3;0.99;24.14;521994;2025-12-19 15:17:51.264934+00:00
1138;prx3;0.82;24.14;521987;2025-12-19 15:17:44.094070+00:00
1137;prx2;0.16;4.7;521937;2025-12-19 15:17:38.011238+00:00
1136;prx3;1.15;24.14;521978;2025-12-19 15:17:35.999429+00:00
1135;prx3;0.97;24.13;521971;2025-12-19 15:17:28.852301+00:00
1134;prx2;0.16;4.71;521922;2025-12-19 15:17:22.797338+00:00
1133;prx3;1.26;24.14;521963;2025-12-19 15:17:20.719081+00:00
1132;prx3;1.24;24.14;521956;2025-12-19 15:17:13.632057+00:00
1131;prx2;0.16;4.71;521906;2025-12-19 15:17:07.588424+00:00
1130;prx1;0.09;3.27;521828;2025-12-19 15:17:05.430992+00:00
1129;prx3;0.96;24.14;521941;2025-12-19 15:16:58.372677+00:00
1128;prx2;0.13;4.71;521891;2025-12-19 15:16:52.369156+00:00
1127;prx3;0.77;24.15;521933;2025-12-19 15:16:50.154521+00:00
1126;prx3;0.92;24.14;521926;2025-12-19 15:16:43.111371+00:00
1125;prx2;0.16;4.7;521876;2025-12-19 15:16:37.096596+00:00
1124;prx3;0.91;24.14;521917;2025-12-19 15:16:34.873172+00:00
1123;prx3;1.18;24.14;521910;2025-12-19 15:16:27.839781+00:00
